"","estimate","san.se","p"
"at_least_4anc",0.173061185626711,0.193083949666076,0.370092444242515
"ga_lt_16_anc1",-0.230809791706418,0.177192598298046,0.192713838471514
"at_least_3anc",0.487953283094222,0.167814022455196,0.00364094318289732
"mean_ga_anc1",0.204474071714028,0.42434790780281,0.629909104835025
