"","estimate","san.se","p"
"at_least_4anc",0.0674789405570879,0.119565247876385,0.572502911132548
"ga_lt_16_anc1",0.064228530258961,0.108313629949199,0.553190125627402
"at_least_3anc",0.0171887403708071,0.111448682327083,0.87742831717928
"mean_ga_anc1",-0.270130814147269,0.250582586545383,0.281028794768906
