"","estimate","san.se","p"
"at_least_4anc",0.182107413709286,0.172593003979064,0.291367575705007
"ga_lt_16_anc1",-0.18690416499534,0.169989487331581,0.271548178097352
"at_least_3anc",0.452364963910082,0.151618940520291,0.00284911514413155
"mean_ga_anc1",0.165182773781891,0.384707072623294,0.667651905633309
