"","estimate","san.se","p","estimate","san.se","p"
"at_least_4anc",0.182107413709286,0.172593003979064,0.291367575705007,-0.726957964021417,0.199925941223524,0.000276757976497732
"ga_lt_14_anc1",-0.150286703530905,0.173123361128321,0.385344922827465,-0.364465462421837,0.252088752435336,0.148238265323488
"mean_ga_anc1",0.165182773781891,0.384707072623294,0.667651905633309,16.013956719976,0.579055490168235,0
"mean_anc",0.131366173893482,0.0662605738992222,0.0474155690589839,3.00679056579644,0.0779771732311605,0
