"","estimate","san.se","p","estimate","san.se","p"
"at_least_4anc",0.173061185626711,0.193083949666076,0.370092444242515,-0.667622465686938,0.218197239098363,0.00221543976207161
"ga_lt_14_anc1",-0.171003491296241,0.182932658922175,0.349896897418847,-0.434918050721952,0.265498003047273,0.101396300753917
"mean_ga_anc1",0.204474071714028,0.42434790780281,0.629909104835025,16.2532592154923,0.658566170010781,0
"mean_anc",0.129426039206454,0.0733642909308316,0.0777057523601026,3.03495974866833,0.0834309750298709,0
