"","estimate","san.se","p","estimate","san.se","p"
"at_least_4anc",0.0827914531565039,0.140040855777547,0.554389775263467,-0.827677123272168,0.213162673201493,0.000103242372392454
"ga_lt_14_anc1",0.098459121236521,0.123609589873143,0.425722284837569,-0.0979068816714126,0.117357299993245,0.404132659993922
"mean_ga_anc1",-0.333523203776419,0.29008521914419,0.250250088021421,15.680452302221,0.336890260542078,0
"mean_anc",0.0275275918977479,0.0531030206652695,0.604192534926239,3.04347038541834,0.0644430036847374,0
