"","estimate","san.se","p","estimate","san.se","p"
"at_least_4anc",0.0674789405570879,0.119565247876385,0.572502911132548,-0.857566913391864,0.169731237171063,4.3606654243078e-07
"ga_lt_14_anc1",0.0687686492945386,0.112686003967193,0.541684367268895,-0.0569016039570567,0.0794949956192014,0.474121952201429
"mean_ga_anc1",-0.270130814147269,0.250582586545383,0.281028794768906,15.5567057702304,0.262660300391453,0
"mean_anc",0.0192218430992348,0.0448050236857979,0.667915299439001,3.03195559425165,0.0489184051277641,0
